,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
1240,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,24-60,40.0,7-25,28.0,11-14,78.6,35,12,23,0,8,11,3,12,0,12,2,2,0,13,6.0,HOME,333,Alabama,Crimson Tide,ALA,401082972,2019,2,2019-03-06
1245,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,34-60,56.7,5-14,35.7,13-21,61.9,49,9,40,0,23,9,10,11,0,11,0,0,0,16,47.0,AWAY,2331,Lenoir Rhyne,Bears,LAG,401082974,2019,2,2018-11-07
1247,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,34-63,54.0,9-21,42.9,10-12,83.3,40,11,29,0,27,3,4,11,0,11,0,0,0,15,24.0,AWAY,309,Louisiana,Ragin' Cajuns,ULL,401082975,2019,2,2018-11-10
1249,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,35-69,50.7,7-28,25.0,18-25,72.0,50,18,32,0,24,5,5,16,0,16,0,0,0,20,32.0,AWAY,2198,Eastern Kentucky,Colonels,EKU,401082976,2019,2,2018-11-28
1251,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,26-49,53.1,7-17,41.2,20-25,80.0,36,4,32,0,20,10,6,13,0,13,0,0,0,7,30.0,AWAY,357,Texas A&M-CC,Islanders,AMCC,401082977,2019,2,2018-12-02
1252,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,29-72,40.3,12-29,41.4,6-10,60.0,39,16,23,0,22,2,4,7,0,7,0,0,0,16,9.0,HOME,2250,Gonzaga,Bulldogs,GONZ,401082978,2019,2,2018-12-09
1253,Gonzaga,s:40~l:41~t:2250,cfd4d8,002967,Gonzaga Bulldogs,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,Gonzaga,2250,GONZ,gonzaga-bulldogs,27-59,45.8,7-18,38.9,12-19,63.2,41,11,30,0,14,4,2,11,0,11,0,0,0,17,9.0,AWAY,2633,Tennessee,Volunteers,TENN,401082978,2019,2,2018-12-09
1254,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,27-52,51.9,9-24,37.5,39-46,84.8,42,11,31,0,21,4,9,18,1,18,0,0,0,22,18.0,HOME,235,Memphis,Tigers,MEM,401082979,2019,2,2018-12-15
1257,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,33-57,57.9,5-14,35.7,12-20,60.0,36,7,29,0,22,7,4,9,0,9,0,0,0,17,20.0,AWAY,2535,Samford,Bulldogs,SAM,401082980,2019,2,2018-12-20
1259,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,37-58,63.8,4-8,50.0,18-22,81.8,38,9,29,0,25,10,12,13,0,13,0,0,0,16,44.0,AWAY,2635,Tennessee Tech,Golden Eagles,TNTC,401082981,2019,2,2018-12-29
