,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev,points_per_min,prev_player_ppg,prev_player_points_per_min,game_total_points,game_number,Cleaned_position_bigs_guards,cum_average_opp_points_to_role,cum_average_opp_min_allowed_to_role,prev_3_games_opp_min_allowed_to_role,prev_3_games__opp_points_allowed_to_role,total_pts_allowed,prev_total_opp_ppg,Home,Starter_numeric,prev_avg_pts_to_role_pos,prev_avg_min_to_role_position,Big_man,Guard
22,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Bryce Brown,33,0,1,1,2,0,0,1,0,6,True,False,False,False,2.0,3908521,B. Brown,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908521.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,2,7,2,5,0,0,2.0,HOME,96,UK,0.18181818181818182,16.0,0.497,53,15,Guard,66.8,29.44,30.733,59.667,53,80.4,1,1,34.333,31.542,0,1
23,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Danjel Purifoy,16,0,2,2,1,1,0,1,4,2,False,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,1,4,0,1,0,0,2.0,HOME,96,UK,0.125,3.0,0.305,53,15,Big_man,13.6,10.266,11.706,11.0,53,80.4,1,0,4.833,9.417,1,0
24,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Horace Spencer,11,0,0,0,0,1,0,0,2,2,False,False,False,False,0.0,3908520,H. Spencer,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908520.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,1,2,0,0,0,0,2.0,HOME,96,UK,0.18181818181818182,4.07,0.292,53,15,Big_man,13.6,10.266,11.706,11.0,53,80.4,1,0,4.833,9.417,1,0
25,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Austin Wiley,6,1,1,2,0,0,0,0,0,4,False,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,1,2,0,0,2,2,2.0,HOME,96,UK,0.6666666666666666,4.0,0.226,53,15,Big_man,13.6,10.266,11.706,11.0,53,80.4,1,0,4.833,9.417,1,0
26,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",J'Von McCormick,9,0,0,0,2,1,0,0,0,3,False,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,1,2,0,0,1,1,2.0,HOME,96,UK,0.3333333333333333,3.5,0.266,53,15,Guard,13.6,10.266,11.706,11.0,53,80.4,1,0,8.0,11.745,0,1
27,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Samir Doughty,20,0,0,0,1,1,1,1,0,0,False,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,0,2,0,1,0,0,2.0,HOME,96,UK,0.0,6.14,0.264,53,15,Guard,13.6,10.266,11.706,11.0,53,80.4,1,0,8.0,11.745,0,1
28,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Chuma Okeke,33,1,5,6,3,4,0,2,4,6,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,3,10,0,3,0,0,0.0,HOME,150,DUKE,0.18181818181818182,12.14,0.41,72,30,Big_man,69.0,26.0,,,72,84.0,1,1,26.0,28.5,1,0
29,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Anfernee McLemore,21,5,7,12,0,0,1,0,1,4,True,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,2,9,0,2,0,0,0.0,HOME,150,DUKE,0.19047619047619047,7.62,0.38,72,30,Big_man,69.0,26.0,,,72,84.0,1,1,26.0,28.5,1,0
30,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Jared Harper,38,0,0,0,6,0,0,2,0,22,True,False,False,False,1.0,4066248,J. Harper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066248.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,7,19,6,10,2,2,0.0,HOME,150,DUKE,0.5789473684210527,15.34,0.457,72,30,Guard,69.0,26.0,,,72,84.0,1,1,41.0,30.665,0,1
31,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Samir Doughty,13,2,1,3,0,1,0,1,5,0,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,0,3,0,0,0,0,0.0,HOME,150,DUKE,0.0,7.55,0.315,72,30,Guard,69.0,26.0,,,72,84.0,1,1,41.0,30.665,0,1
32,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Bryce Brown,38,2,1,3,2,1,0,2,2,16,True,False,False,False,2.0,3908521,B. Brown,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908521.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,6,17,4,13,0,0,0.0,HOME,150,DUKE,0.42105263157894735,15.55,0.499,72,30,Guard,69.0,26.0,,,72,84.0,1,1,41.0,30.665,0,1
33,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Horace Spencer,15,2,1,3,0,1,0,0,3,2,False,False,False,False,0.0,3908520,H. Spencer,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908520.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,1,3,0,1,0,0,0.0,HOME,150,DUKE,0.13333333333333333,4.38,0.3,72,30,Big_man,15.0,17.5,,,72,84.0,1,0,5.25,14.125,1,0
34,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Austin Wiley,19,4,5,9,0,1,0,1,3,17,False,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,7,11,0,0,3,7,0.0,HOME,150,DUKE,0.8947368421052632,7.95,0.502,72,30,Big_man,15.0,17.5,,,72,84.0,1,0,5.25,14.125,1,0
35,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",J'Von McCormick,3,1,0,1,2,0,0,0,1,0,False,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,0,0,0,0,0,0,0.0,HOME,150,DUKE,0.0,3.39,0.257,72,30,Guard,15.0,17.5,,,72,84.0,1,0,5.0,14.792,0,1
36,Auburn,401096921,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Malik Dunbar,20,0,2,2,1,0,1,1,5,5,False,False,False,False,4.0,4278055,M. Dunbar,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278055.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-11-21,2,5,1,3,0,0,0.0,HOME,150,DUKE,0.25,6.96,0.375,72,30,Guard,15.0,17.5,,,72,84.0,1,0,5.0,14.792,0,1
