team_id,team_name,pace_rating,pace_rank,ESPN_conference_id,conference_name,kenpom_name,Tempo,AdjTempo,RankTempo,RankAdjTempo
140,Kansas City,8.324880077123654,173,49,Summit League,UMKC,68.5278,67.3882,152,162
2483,Oregon,8.315390630124504,174,21,PAC-12,Oregon,68.3501,67.9426,163,123
2681,Wagner,8.315007380366898,175,19,Northeast,Wagner,67.9973,66.4798,177,217
38,Colorado,8.305970826012668,176,21,PAC-12,Colorado,68.4056,67.3989,160,160
2724,Wichita State,8.29077879021298,177,62,AAC,Wichita St.,67.841,66.9416,189,193
2448,NC A&T,8.284272334633092,178,6,Big South,North Carolina A&T,67.6956,67.411,197,159
156,Creighton,8.259612013480522,179,4,Big East,Creighton,68.1373,67.1545,172,178
2550,Seton Hall,8.250762322881533,180,4,Big East,Seton Hall,68.5265,67.3187,153,167
195,Ohio,8.24662826773288,181,14,MAC,Ohio,68.9607,67.5506,122,145
324,Coast Carolina,8.232310311241749,182,27,Sun Belt,Coastal Carolina,67.1481,66.9663,233,191
2226,FAU,8.2319331098022,183,11,Conference USA,Florida Atlantic,68.6116,67.4571,143,152
2329,Lehigh,8.22993019680956,184,22,Patriot League,Lehigh,68.2261,68.0952,167,116
2459,N Illinois,8.188598119060492,185,14,MAC,Northern Illinois,68.5675,67.0198,147,189
2572,Southern Miss,8.18410916647629,186,11,Conference USA,Southern Miss,67.6276,67.0724,200,187
2460,Northern Iowa,8.178219768008619,187,18,MVC,Northern Iowa,67.5729,67.2902,202,170
93,Murray State,8.174851550026762,188,20,OVC,Murray St.,67.4603,66.0529,211,241
150,Duke,8.166562710556354,189,2,ACC,Duke,68.1484,67.2666,171,172
28,UC San Diego,8.162112655647647,190,9,Big West,UC San Diego,67.9191,67.8784,183,125
302,UC Davis,8.14238938996519,191,9,Big West,UC Davis,67.8794,67.1125,186,183
2670,VCU,8.126854772636772,192,3,A10,VCU,68.5927,68.6308,145,95
84,Indiana,8.11620916394202,193,7,Big 10,Indiana,67.8082,67.2195,191,175
2506,Presbyterian,8.11213584513692,194,6,Big South,Presbyterian,65.4178,64.0946,312,328
2597,St Francis BK,8.111299933137607,195,19,Northeast,St. Francis NY,67.7433,66.6374,196,208
2132,Cincinnati,8.109977417307624,196,62,AAC,Cincinnati,68.5406,67.5815,151,143
2623,Missouri State,8.10422374529164,197,18,MVC,Missouri St.,67.7526,67.141,194,181
2520,Rider,8.103300051846192,198,13,MAAC,Rider,68.3107,66.8962,166,194
30,USC,8.098154756896564,199,21,PAC-12,USC,67.4781,66.2321,209,231
2031,Little Rock,8.094033116308092,200,27,Sun Belt,Little Rock,66.7579,66.6589,256,205
2638,UTEP,8.086680436345889,201,11,Conference USA,UTEP,67.448,66.6216,214,209
2449,N Dakota St,8.072547778834927,202,49,Summit League,North Dakota St.,67.9838,66.3774,178,221
2182,Drexel,8.072123144768668,203,10,CAA,Drexel,67.7862,66.413,192,220
254,Utah,8.0695977786647,204,21,PAC-12,Utah,67.2067,66.1523,231,235
2523,Robert Morris,8.060427986207236,205,45,Horizon,Robert Morris,67.5274,66.6527,205,206
2241,Gardner-Webb,8.054483658375005,206,6,Big South,Gardner Webb,68.3161,67.4414,165,155
356,Illinois,8.053247765703617,207,7,Big 10,Illinois,67.921,67.1516,182,179
2116,UCF,8.053037439219601,208,62,AAC,UCF,68.0564,67.4419,174,154
2344,Longwood,8.045363191271186,209,6,Big South,Longwood,67.153,66.1438,232,236
2464,N Arizona,8.03537106803224,210,5,Big Sky,Northern Arizona,67.2394,65.1164,226,284
127,Michigan State,8.02593329713894,211,7,Big 10,Michigan St.,67.8746,67.5117,187,147
41,UConn,8.012604400817214,212,4,Big East,Connecticut,66.755,64.7865,257,300
166,New Mexico St,8.007362597195083,213,30,WAC,New Mexico St.,67.6864,66.1255,198,238
71,Bradley,7.968262038497503,214,18,MVC,Bradley,67.671,67.2183,199,176
277,West Virginia,7.962550108707945,215,8,Big 12,West Virginia,68.4773,67.9703,156,122
2540,UCSB,7.9526335935248165,216,9,Big West,UC Santa Barbara,65.7824,65.6058,296,261
218,Temple,7.942231034590585,217,62,AAC,Temple,67.1246,66.3409,235,223
48,Delaware,7.941412238663585,218,10,CAA,Delaware,67.5531,66.6936,204,204
2674,Valparaiso,7.936656401383041,219,18,MVC,Valparaiso,65.4623,65.051,309,288
26,UCLA,7.925932892187907,220,21,PAC-12,UCLA,66.5276,65.2198,265,277
2390,Miami,7.92550897568473,221,2,ACC,Miami FL,67.8876,67.7186,185,134
328,Utah State,7.925111205378555,222,44,MWC,Utah St.,67.272,66.7613,223,200
2885,NJIT,7.923061050851947,223,1,American East,NJIT,66.6106,66.0228,263,244
2184,Duquesne,7.901543778965278,224,3,A10,Duquesne,66.8408,65.881,252,248
149,Montana,7.897562329657092,225,5,Big Sky,Montana,66.8693,65.2726,250,274
227,Rhode Island,7.892981704673754,226,3,A10,Rhode Island,67.9512,67.2768,179,171
270,Milwaukee,7.891940634950741,227,45,Horizon,Milwaukee,67.7605,66.8467,193,196
2066,Binghamton,7.891349195651397,228,1,American East,Binghamton,67.2147,67.12,229,182
2306,Kansas State,7.8831584483882295,229,8,Big 12,Kansas St.,67.4785,66.5703,208,213
265,Washington St,7.8827310974784845,230,21,PAC-12,Washington St.,67.4298,66.3341,215,224
97,Louisville,7.880956061431569,231,2,ACC,Louisville,67.5201,67.0408,206,188
350,UNC Wilmington,7.878070717088069,232,10,CAA,UNC Wilmington,66.3929,65.4913,269,263
6,South Alabama,7.876021818303873,233,27,Sun Belt,South Alabama,66.9398,66.4582,246,219
2641,Texas Tech,7.871839316532085,234,8,Big 12,Texas Tech,67.3351,66.4742,220,218
2244,George Mason,7.871814590092547,235,3,A10,George Mason,66.5241,64.8237,266,298
2561,Siena,7.858685411833247,236,13,MAAC,Siena,67.2387,66.325,227,225
2320,Lamar,7.846044822605374,237,30,WAC,Lamar,67.4157,66.0606,217,240
2916,Incarnate Word,7.83891747982003,238,25,Southland,Incarnate Word,67.7517,64.6423,195,312
120,Maryland,7.832893937245622,239,7,Big 10,Maryland,67.4481,66.6101,213,211
2253,Grand Canyon,7.809935266251948,240,30,WAC,Grand Canyon,66.8735,65.4695,249,265
301,San Diego,7.792023365876313,241,29,WCC,San Diego,66.9424,65.5713,245,262
202,Tulsa,7.781305098919418,242,62,AAC,Tulsa,67.3234,66.5137,221,214
57,Florida,7.773507358015735,243,23,SEC,Florida,66.8629,65.4199,251,267
2754,Youngstown St,7.768504101173217,244,45,Horizon,Youngstown St.,67.0545,66.6391,239,207
2534,Sam Houston,7.764742165236039,245,30,WAC,Sam Houston St.,65.9258,64.7909,287,299
233,South Dakota,7.7586125227512035,246,49,Summit League,South Dakota,67.2683,65.6834,224,256
145,Ole Miss,7.7507062461612,247,23,SEC,Mississippi,67.0271,65.2057,240,278
2065,Bethune-Cookman,7.750015632013995,248,26,SWAC,Bethune Cookman,67.2119,65.8188,230,251
2142,Colgate,7.736791984718879,249,22,Patriot League,Colgate,67.4816,67.1582,207,177
142,Missouri,7.731313398410686,250,23,SEC,Missouri,67.1358,65.6105,234,260
2509,Purdue,7.723927428920753,251,7,Big 10,Purdue,66.655,66.1389,258,237
2368,Marist,7.712613988842279,252,13,MAAC,Marist,66.9199,66.1864,247,233
55,J'Ville St,7.708826745750438,253,46,ASUN,Jacksonville St.,66.1555,65.1452,277,283
2507,Providence,7.702080202721999,254,4,Big East,Providence,66.0324,65.2272,282,276
107,Holy Cross,7.7005148511562505,255,22,Patriot League,Holy Cross,67.0013,67.0975,241,184
231,Furman,7.697324029711502,256,24,Southern,Furman,65.5796,64.8344,302,297
290,Georgia So,7.691994645712323,257,27,Sun Belt,Georgia Southern,66.3974,65.9865,268,245
